Implementation,AvgMs,CpuMs,Speedup,PeakHeapMB,GcCount,GcTimeMs
Sequential,17,29,1.00,202,4,2
Threaded (no pool) - 2 threads,10,31,1.70,338,1,0
Threaded (no pool) - 4 threads,4,25,4.25,342,4,0
Threaded (no pool) - 8 threads,4,30,4.25,346,4,0
Thread Pool - 2 threads,9,39,1.89,204,12,12
Thread Pool - 4 threads,4,25,4.25,208,13,16
Thread Pool - 8 threads,13,29,1.31,206,13,36
Fork/Join,8,52,2.13,206,13,10
CompletableFuture - 2 threads,9,38,1.89,272,8,16
CompletableFuture - 4 threads,3,21,5.67,276,9,11
CompletableFuture - 8 threads,3,26,5.67,206,9,16
